Iter Loss lambda1 2/eta sam_edge ||g||_2 ||g_sam||_2 ||g_ssam||_2 ||g||_1 ||g_sam||_1 ||g_ssam||_1 g_alignment sg_alignment ssg_alignment ssam_sam_g_alignment
0 0.11339487880468369 4.845038890838623 666.6666666666666 48.746009826660156 0.3845435082912445 0.8290286064147949 0.8434188365936279 7.687743186950684 16.51227378845215 16.77227020263672 0.6071649789810181 0.6431827545166016 0.6465045809745789 0.9999017715454102
50 0.10118121653795242 4.435679912567139 666.6666666666666 37.33118438720703 0.22144269943237305 0.6044338345527649 0.6378228664398193 4.345352649688721 12.22549057006836 12.867903709411621 0.41134729981422424 0.4658747613430023 0.4729144871234894 0.999342143535614
100 0.09706419706344604 4.749816417694092 666.6666666666666 30.458986282348633 0.14582498371601105 0.45493409037590027 0.5252541899681091 2.620569944381714 9.29450798034668 10.74724006652832 0.36836349964141846 0.5040069222450256 0.5347782373428345 0.9970164895057678
150 0.09528684616088867 4.7615580558776855 666.6666666666666 26.895076751708984 0.1130630373954773 0.3478502631187439 0.45724231004714966 1.8019319772720337 6.909698009490967 9.232278823852539 0.2966499924659729 0.4898280203342438 0.5399252772331238 0.9916183352470398
200 0.09425567835569382 4.627711296081543 666.6666666666666 25.189376831054688 0.0989130437374115 0.2860754728317261 0.420528769493103 1.4569170475006104 5.657918930053711 8.790289878845215 0.20736567676067352 0.40314891934394836 0.4604717195034027 0.9849137663841248
250 0.09350701421499252 4.5988054275512695 666.6666666666666 24.332637786865234 0.0921759158372879 0.25911998748779297 0.4086569547653198 1.3245513439178467 5.200438499450684 8.749658584594727 0.22275935113430023 0.45978298783302307 0.5120877027511597 0.9805710315704346
300 0.09289266169071198 4.586334705352783 666.6666666666666 23.816802978515625 0.08823835849761963 0.248803049325943 0.40845316648483276 1.2583848237991333 4.9748101234436035 8.71412467956543 0.15412622690200806 0.33421263098716736 0.37621402740478516 0.9790676236152649
350 0.09235864877700806 4.683384895324707 666.6666666666666 23.473112106323242 0.08566425740718842 0.24509088695049286 0.41079965233802795 1.2312192916870117 4.910672664642334 8.703062057495117 0.14215733110904694 0.31686511635780334 0.36039191484451294 0.9789512157440186
400 0.09188228845596313 4.682102680206299 666.6666666666666 23.188627243041992 0.0835634395480156 0.24368250370025635 0.4132676422595978 1.201627492904663 4.896729469299316 8.712738037109375 0.11768397688865662 0.2583800256252289 0.2991316318511963 0.979335606098175
450 0.09145019203424454 4.552257061004639 666.6666666666666 22.96375846862793 0.0819220021367073 0.2441643625497818 0.41582512855529785 1.177335262298584 4.914463996887207 8.736464500427246 0.1947563886642456 0.4386557638645172 0.5032898187637329 0.9802294373512268
500 0.0910540223121643 4.753448009490967 666.6666666666666 22.771038055419922 0.0805286094546318 0.24464891850948334 0.4173276722431183 1.1597435474395752 4.934868812561035 8.759477615356445 0.11616944521665573 0.25698432326316833 0.29211676120758057 0.9808468818664551
550 0.09068866819143295 4.469086647033691 666.6666666666666 22.5949649810791 0.07926641404628754 0.24536682665348053 0.4182812571525574 1.1378028392791748 4.944693088531494 8.764806747436523 0.12479976564645767 0.27771884202957153 0.32349610328674316 0.9814082980155945
600 0.09034977853298187 4.588501930236816 666.6666666666666 22.443225860595703 0.07818690687417984 0.24647314846515656 0.4195820093154907 1.125028133392334 4.988306522369385 8.787422180175781 0.23739127814769745 0.5022753477096558 0.5540534257888794 0.9821221828460693
650 0.09003341197967529 4.430126667022705 666.6666666666666 22.311491012573242 0.07725594937801361 0.24737660586833954 0.4205099940299988 1.1151999235153198 5.023152828216553 8.796549797058105 0.15363873541355133 0.34315618872642517 0.4002878963947296 0.9826611280441284
700 0.08973680436611176 4.488963603973389 666.6666666666666 22.192703247070312 0.07642141729593277 0.24843890964984894 0.4213508069515228 1.103865385055542 5.053443431854248 8.814342498779297 0.24324850738048553 0.5188119411468506 0.5795058608055115 0.9831570982933044
750 0.08945762366056442 4.343445777893066 666.6666666666666 22.07695770263672 0.07561276108026505 0.24915796518325806 0.42190077900886536 1.0920480489730835 5.072615146636963 8.825969696044922 0.18814493715763092 0.37531381845474243 0.40374556183815 0.983525812625885
800 0.08919410407543182 4.510961055755615 666.6666666666666 21.987110137939453 0.07498811185359955 0.2500203847885132 0.42240259051322937 1.0867723226547241 5.101938247680664 8.838457107543945 0.30200445652008057 0.6392166614532471 0.7058199048042297 0.983913004398346
850 0.08894450217485428 4.638251304626465 666.6666666666666 21.896249771118164 0.07435914129018784 0.2509489953517914 0.423008531332016 1.076796054840088 5.126059055328369 8.845829010009766 0.03357941657304764 0.07370636612176895 0.09377552568912506 0.9841865301132202
