Iter Loss lambda1 2/eta sam_edge ||g||_2 ||g_sam||_2 ||g||_1 ||g_sam||_1 g_alignment sg_alignment ssam_sam_g_alignment succ_sg_alignment
0 0.1397474706172943 5.130932331085205 666.6666666666666 62.27683639526367 0.6417058110237122 1.1772029399871826 13.368515014648438 24.64606475830078 0.436898410320282 0.4507080018520355 0.9999999403953552 1.0
100 0.0949619859457016 4.716524600982666 666.6666666666666 25.23381996154785 0.09926927089691162 0.2787393033504486 1.38266122341156 5.61912727355957 0.14813895523548126 0.3057228922843933 0.4188919961452484 0.5470632314682007
200 0.09324374794960022 4.59051513671875 666.6666666666666 23.73486328125 0.08762107044458389 0.2681888937950134 1.233532428741455 5.615656852722168 0.15120626986026764 0.3083263635635376 0.9572909474372864 0.9618762731552124
300 0.09215863049030304 4.5353779792785645 666.6666666666666 23.216367721557617 0.0837671086192131 0.2678520977497101 1.2033569812774658 5.639350891113281 0.2312607765197754 0.4561108350753784 0.9895948171615601 0.9950029850006104
400 0.09129051864147186 4.567416667938232 666.6666666666666 22.857154846191406 0.08114971220493317 0.2672741711139679 1.1807632446289062 5.651813507080078 0.045705441385507584 0.09528373181819916 0.9941188097000122 0.9983804225921631
500 0.09055810421705246 4.4304094314575195 666.6666666666666 22.552906036376953 0.0789664164185524 0.2657333314418793 1.1497633457183838 5.609639644622803 0.14497056603431702 0.25900328159332275 0.9952698945999146 0.9990105628967285
600 0.08992545306682587 4.2338385581970215 666.6666666666666 22.309255599975586 0.07724019140005112 0.2643243074417114 1.1313682794570923 5.564411163330078 0.09885352104902267 0.19146078824996948 0.9958533048629761 0.9992222785949707
700 0.08936856687068939 4.273538589477539 666.6666666666666 22.11773681640625 0.07589714974164963 0.2622945010662079 1.1139051914215088 5.522069931030273 0.0015232847072184086 0.01169067807495594 0.9964384436607361 0.9993589520454407
800 0.08887077122926712 4.145749092102051 666.6666666666666 21.923175811767578 0.0745452418923378 0.2602219879627228 1.1022288799285889 5.474432468414307 0.025773636996746063 0.05391865223646164 0.996730625629425 0.9994332790374756
900 0.08842230588197708 3.9633326530456543 666.6666666666666 21.748682022094727 0.07334347069263458 0.2575865685939789 1.082234263420105 5.419471740722656 0.019548458978533745 0.014988432638347149 0.9968741536140442 0.999492347240448
1000 0.08801455795764923 4.042551040649414 666.6666666666666 21.60373306274414 0.072352834045887 0.25545981526374817 1.0749146938323975 5.373281478881836 0.10855069756507874 0.18262147903442383 0.9971118569374084 0.9995610117912292
1100 0.08764082938432693 4.025668621063232 666.6666666666666 21.4722843170166 0.07146048545837402 0.25345489382743835 1.0588475465774536 5.340382099151611 0.01260126568377018 2.2518775949720293e-05 0.9973557591438293 0.9995924234390259
1200 0.08729543536901474 3.9871644973754883 666.6666666666666 21.33855438232422 0.07055851072072983 0.2511180341243744 1.049072027206421 5.2889723777771 0.2587168216705322 0.4617201089859009 0.9973301291465759 0.9996067881584167
1300 0.0869760736823082 3.926859140396118 666.6666666666666 21.22163963317871 0.0697747990489006 0.248677596449852 1.043609380722046 5.240850925445557 0.2053460329771042 0.3811054825782776 0.9975696206092834 0.9996512532234192
1400 0.08667934685945511 3.8699307441711426 666.6666666666666 21.115644454956055 0.06906819343566895 0.24636788666248322 1.0293927192687988 5.193533420562744 0.04257659614086151 0.08654876053333282 0.9976778030395508 0.9996486902236938
1500 0.08640193194150925 3.7416374683380127 666.6666666666666 21.01201057434082 0.0683809146285057 0.24370215833187103 1.0174527168273926 5.1454925537109375 0.01309220027178526 0.014308440499007702 0.9977366328239441 0.9996426105499268
1600 0.08614238351583481 3.820429563522339 666.6666666666666 20.910140991210938 0.0677088052034378 0.24118855595588684 1.0033155679702759 5.081207752227783 0.11620762944221497 0.2079232782125473 0.9976770281791687 0.9996468424797058
1700 0.0858980193734169 3.8643088340759277 666.6666666666666 20.824678421020508 0.06714757531881332 0.23887185752391815 0.9889988899230957 5.030148983001709 0.016082696616649628 0.029017016291618347 0.9977117776870728 0.9996658563613892
1800 0.0856674537062645 3.8735761642456055 666.6666666666666 20.7255802154541 0.06649982929229736 0.23633594810962677 0.9729264974594116 4.976731777191162 0.24715177714824677 0.4591173827648163 0.9978753924369812 0.9997020363807678
1900 0.08544951677322388 3.9131455421447754 666.6666666666666 20.63799476623535 0.06593002378940582 0.23368923366069794 0.956148624420166 4.9204936027526855 0.1362806111574173 0.2579473853111267 0.9979601502418518 0.999683141708374
2000 0.085242860019207 3.735823631286621 666.6666666666666 20.5625 0.06544090807437897 0.2315988540649414 0.9467548131942749 4.87224817276001 0.037772711366415024 0.08172536641359329 0.9979126453399658 0.9996939301490784
2100 0.0850464403629303 3.6856861114501953 666.6666666666666 20.504392623901367 0.06506570428609848 0.2296537458896637 0.9443058967590332 4.83254337310791 0.18047116696834564 0.3333001136779785 0.9979465007781982 0.9996946454048157
2200 0.08485891669988632 3.6739187240600586 666.6666666666666 20.43505096435547 0.06461944431066513 0.22749757766723633 0.9394690990447998 4.799474716186523 0.22001227736473083 0.4071866273880005 0.9979177117347717 0.9997002482414246
2300 0.08468038588762283 3.669879913330078 666.6666666666666 20.3647518157959 0.06416862457990646 0.22585539519786835 0.940018355846405 4.763099670410156 0.09310011565685272 0.1688869446516037 0.9980159997940063 0.9997128844261169
2400 0.08450925350189209 3.595161199569702 666.6666666666666 20.310943603515625 0.06382467597723007 0.2236076146364212 0.9316664934158325 4.711825370788574 0.13249972462654114 0.2157212346792221 0.9980268478393555 0.9997167587280273
2500 0.0843450278043747 3.541916847229004 666.6666666666666 20.248239517211914 0.06342504918575287 0.22155435383319855 0.9179092049598694 4.668934345245361 0.14093323051929474 0.2697105407714844 0.9981557726860046 0.9997018575668335
2600 0.08418788015842438 3.504925489425659 666.6666666666666 20.18467903137207 0.06302127987146378 0.21950063109397888 0.914036214351654 4.623493194580078 0.11070319265127182 0.2014874368906021 0.9981020092964172 0.9996988773345947
2700 0.08403659611940384 3.552371025085449 666.6666666666666 20.13246726989746 0.0626906231045723 0.21744924783706665 0.9126779437065125 4.583035945892334 0.22152890264987946 0.4089053273200989 0.9982051849365234 0.9997391700744629
2800 0.08389022946357727 3.5496890544891357 666.6666666666666 20.07046890258789 0.06229912117123604 0.21553431451320648 0.9052459001541138 4.541142463684082 0.01951361447572708 0.04464574158191681 0.9981971979141235 0.9997158646583557
2900 0.08374911546707153 3.579054117202759 666.6666666666666 20.016189575195312 0.061957404017448425 0.21371060609817505 0.8991180062294006 4.495937824249268 0.08838934451341629 0.17000359296798706 0.998180627822876 0.99972003698349
3000 0.0836130827665329 3.4657373428344727 666.6666666666666 19.966535568237305 0.06164565682411194 0.2119542509317398 0.8961809873580933 4.458735466003418 0.08475363999605179 0.16055887937545776 0.9981421232223511 0.9997111558914185
3100 0.08348118513822556 3.5304784774780273 666.6666666666666 19.923032760620117 0.06137319281697273 0.21014823019504547 0.8898148536682129 4.424899578094482 0.04638010263442993 0.08675993233919144 0.9981878995895386 0.9997307062149048
3200 0.08335337042808533 3.458582878112793 666.6666666666666 19.887540817260742 0.06115137040615082 0.20829418301582336 0.8841315507888794 4.383711338043213 0.16839806735515594 0.3219698965549469 0.9982161521911621 0.999739408493042
3300 0.08322951197624207 3.344968795776367 666.6666666666666 19.84865379333496 0.060908809304237366 0.20672152936458588 0.8815849423408508 4.353237628936768 0.02601243555545807 0.04617669805884361 0.9982780814170837 0.9997208118438721
3400 0.08310909569263458 3.2540454864501953 666.6666666666666 19.800220489501953 0.06060737743973732 0.20522823929786682 0.8801426887512207 4.327762603759766 0.03790868818759918 0.03753560036420822 0.9983214139938354 0.9997327923774719
3500 0.0829920843243599 3.2597737312316895 666.6666666666666 19.749549865722656 0.06029285117983818 0.20378731191158295 0.8712660074234009 4.296061038970947 0.3264397382736206 0.589054524898529 0.9981878399848938 0.9997360706329346
3600 0.0828787088394165 3.0818519592285156 666.6666666666666 19.703174591064453 0.06000572070479393 0.20212514698505402 0.8637804985046387 4.26755428314209 0.16307537257671356 0.29032015800476074 0.9982635974884033 0.9997189044952393
3700 0.08276880532503128 3.3902204036712646 666.6666666666666 19.661087036132812 0.05974576249718666 0.2005971372127533 0.8550812005996704 4.238715171813965 0.01301143690943718 0.004372251685708761 0.9983818531036377 0.9997283220291138
3800 0.08266181498765945 3.2797770500183105 666.6666666666666 19.62285041809082 0.059510089457035065 0.19902735948562622 0.8512171506881714 4.207869052886963 0.0832720398902893 0.18015331029891968 0.9985076189041138 0.9997173547744751
3900 0.08255781978368759 3.330339193344116 666.6666666666666 19.580204010009766 0.05924778804183006 0.1975639909505844 0.8485368490219116 4.178739547729492 0.06738793849945068 0.14237235486507416 0.998331606388092 0.9997205138206482
4000 0.08245683461427689 3.3063151836395264 666.6666666666666 19.544708251953125 0.05902992933988571 0.1961478739976883 0.8417676091194153 4.153499603271484 0.053224168717861176 0.10830152779817581 0.9984923005104065 0.9997435212135315
4100 0.08235842734575272 3.2553915977478027 666.6666666666666 19.51381492614746 0.05884065479040146 0.1946505606174469 0.837276041507721 4.116183280944824 0.03981884568929672 0.08220554143190384 0.9982720017433167 0.9997113943099976
4200 0.08226204663515091 3.1093270778656006 666.6666666666666 19.483898162841797 0.058657679706811905 0.19341729581356049 0.8371518850326538 4.089408874511719 0.09944794327020645 0.19721542298793793 0.9984687566757202 0.9997313618659973
4300 0.08216802775859833 3.1469266414642334 666.6666666666666 19.443925857543945 0.058413632214069366 0.19197429716587067 0.8380777835845947 4.054636001586914 0.06370620429515839 0.1180950477719307 0.9985103011131287 0.999726414680481
4400 0.082076296210289 3.173866033554077 666.6666666666666 19.40917205810547 0.0582018606364727 0.19062839448451996 0.8396645784378052 4.023686408996582 0.0008299968321807683 0.0008211060776375234 0.9985340237617493 0.9997348189353943
4500 0.08198663592338562 3.1999378204345703 666.6666666666666 19.384502410888672 0.058051809668540955 0.18904606997966766 0.8371454477310181 3.9881763458251953 0.09206869453191757 0.16906529664993286 0.9985548257827759 0.9997340440750122
4600 0.08189915865659714 3.018683671951294 666.6666666666666 19.351806640625 0.05785321071743965 0.18757903575897217 0.8366972804069519 3.9589710235595703 0.1562056988477707 0.27028217911720276 0.9985806345939636 0.9997332692146301
4700 0.08181334286928177 3.002253770828247 666.6666666666666 19.320528030395508 0.05766356363892555 0.18627023696899414 0.8320649862289429 3.9351775646209717 0.08951527625322342 0.1544349640607834 0.9986156821250916 0.9997365474700928
4800 0.0817292332649231 3.0328171253204346 666.6666666666666 19.299543380737305 0.057536493986845016 0.18486067652702332 0.8360542058944702 3.901458501815796 0.10947160422801971 0.1930515468120575 0.9986149668693542 0.9997355937957764
4900 0.08164682239294052 3.0091609954833984 666.6666666666666 19.265886306762695 0.05733300372958183 0.18367229402065277 0.8286281824111938 3.8822975158691406 0.15748032927513123 0.26923635601997375 0.9985573291778564 0.9997099041938782
