Iter Loss lambda1 2/eta sam_edge ||g||_2 ||g_sam||_2 ||g||_1 ||g_sam||_1 g_alignment sg_alignment ssam_sam_g_alignment succ_sg_alignment
0 0.11148780584335327 4.987529754638672 666.6666666666666 46.99986267089844 0.35647979378700256 0.7669606804847717 7.744826316833496 17.034679412841797 0.30301856994628906 0.3432389497756958 1.0 1.0
100 0.09436840564012527 4.7673726081848145 666.6666666666666 24.66435432434082 0.09475516527891159 0.24601872265338898 1.1805826425552368 4.386727809906006 0.17574429512023926 0.4085087776184082 0.447297066450119 0.3972683250904083
200 0.09271393716335297 4.4516215324401855 666.6666666666666 23.33800506591797 0.08466318249702454 0.23850254714488983 1.0853962898254395 4.382869243621826 0.002021007239818573 0.015089394524693489 0.9537857174873352 0.9482964873313904
300 0.0916198343038559 4.646827220916748 666.6666666666666 22.794208526611328 0.08069548010826111 0.23668158054351807 1.0586992502212524 4.402311325073242 0.13681070506572723 0.31763866543769836 0.9902756214141846 0.9938310384750366
400 0.09073035418987274 4.180567741394043 666.6666666666666 22.373512268066406 0.07769351452589035 0.2351463884115219 1.0277328491210938 4.414928436279297 0.07694830745458603 0.168033629655838 0.994428277015686 0.998254656791687
500 0.08998104929924011 4.511448860168457 666.6666666666666 22.03660011291504 0.07533183693885803 0.23373404145240784 1.0086138248443604 4.421567916870117 0.19354510307312012 0.42606836557388306 0.9954304099082947 0.9988706707954407
600 0.0893363505601883 4.458010673522949 666.6666666666666 21.76168441772461 0.07343266904354095 0.23153476417064667 0.9811755418777466 4.399693489074707 0.14444248378276825 0.32728487253189087 0.9960255026817322 0.9991037845611572
700 0.08876995742321014 4.242749214172363 666.6666666666666 21.535533905029297 0.07188914716243744 0.22970744967460632 0.9580657482147217 4.372870445251465 0.13998928666114807 0.30880290269851685 0.9962669610977173 0.9992093443870544
800 0.0882682204246521 4.258111476898193 666.6666666666666 21.31859588623047 0.0704244002699852 0.22767174243927002 0.936100959777832 4.353432655334473 0.2645416259765625 0.5750425457954407 0.9968181252479553 0.9993503093719482
900 0.08781883120536804 4.2479963302612305 666.6666666666666 21.137250900268555 0.0692119300365448 0.2253483235836029 0.9239929914474487 4.314552307128906 0.13927148282527924 0.2983188331127167 0.9968155026435852 0.9993911385536194
1000 0.08741270750761032 4.2352447509765625 666.6666666666666 20.970338821411133 0.06810556352138519 0.22411301732063293 0.9062769412994385 4.303004264831543 0.09183835238218307 0.22246745228767395 0.9969616532325745 0.9994516372680664
1100 0.08704322576522827 4.115672588348389 666.6666666666666 20.830554962158203 0.06718607991933823 0.2222965806722641 0.8927158713340759 4.282466411590576 0.11670558899641037 0.27169322967529297 0.9969413876533508 0.9994360208511353
1200 0.08670501410961151 3.81026554107666 666.6666666666666 20.686521530151367 0.0662454143166542 0.21971920132637024 0.8847783803939819 4.2347211837768555 0.09026475995779037 0.19165757298469543 0.9971319437026978 0.9994958639144897
1300 0.08639349043369293 4.005454063415527 666.6666666666666 20.5650577545166 0.06545744091272354 0.21771232783794403 0.8676448464393616 4.186795234680176 0.11032884567975998 0.2519470751285553 0.9971274733543396 0.999518871307373
1400 0.0861048474907875 4.072785377502441 666.6666666666666 20.459230422973633 0.06477488577365875 0.21595294773578644 0.8587852120399475 4.146831035614014 0.08858128637075424 0.2074946016073227 0.9972110986709595 0.9995224475860596
1500 0.0858365073800087 3.8813960552215576 666.6666666666666 20.352270126342773 0.06408876180648804 0.2136736959218979 0.849772572517395 4.104887008666992 0.00739371357485652 0.0014028761070221663 0.997530460357666 0.9995204210281372
1600 0.08558642119169235 3.7473738193511963 666.6666666666666 20.25556182861328 0.06347165256738663 0.21215000748634338 0.85191810131073 4.0709147453308105 0.016777902841567993 0.05016690865159035 0.9974465370178223 0.9995557069778442
1700 0.08535195142030716 3.8909664154052734 666.6666666666666 20.172067642211914 0.06294134259223938 0.21021650731563568 0.8462519645690918 4.034993648529053 0.03628358617424965 0.0920950323343277 0.9975629448890686 0.9995871186256409
