Iter Loss lambda1 2/eta sam_edge ||g||_2 ||g_sam||_2 ||g_ssam||_2 ||g||_1 ||g_sam||_1 ||g_ssam||_1 g_alignment sg_alignment ssg_alignment ssam_sam_g_alignment
0 0.11395987123250961 4.928145885467529 666.6666666666666 49.48752212524414 0.3968077301979065 0.8304525017738342 0.8433858752250671 8.200386047363281 17.53681755065918 17.821590423583984 0.4325122535228729 0.4579267203807831 0.46056658029556274 0.999923050403595
100 0.09639505296945572 5.069749355316162 666.6666666666666 31.378585815429688 0.15498726069927216 0.4780035614967346 0.5370725393295288 2.818877696990967 10.020575523376465 11.301681518554688 0.11424444615840912 0.14555984735488892 0.14967842400074005 0.9978916049003601
200 0.09341832250356674 4.848636150360107 666.6666666666666 25.303464889526367 0.0998288244009018 0.31508347392082214 0.4484451711177826 1.530613660812378 6.4292311668396 9.461352348327637 0.2202492505311966 0.39756277203559875 0.43723687529563904 0.9878778457641602
300 0.09215853363275528 5.004520893096924 666.6666666666666 23.599634170532227 0.08660726249217987 0.26584771275520325 0.4347979724407196 1.1827435493469238 5.001124382019043 8.368523597717285 0.06484945118427277 0.13088716566562653 0.1422029435634613 0.9816910624504089
400 0.09128344804048538 4.857589244842529 666.6666666666666 22.91819953918457 0.08159147202968597 0.2561182975769043 0.43787863850593567 1.107278823852539 4.854919910430908 8.502010345458984 0.027272844687104225 0.060466136783361435 0.07409109175205231 0.9824299812316895
500 0.09057539701461792 4.939603805541992 666.6666666666666 22.52939796447754 0.07879900187253952 0.25575366616249084 0.44074705243110657 1.0778783559799194 4.9229817390441895 8.591184616088867 0.14036013185977936 0.3034287393093109 0.33514606952667236 0.984039306640625
600 0.0899696797132492 4.823899269104004 666.6666666666666 22.273740768432617 0.07699022442102432 0.2572447955608368 0.4426432251930237 1.0624417066574097 4.974964618682861 8.656396865844727 0.006797907408326864 0.025984253734350204 0.040326155722141266 0.9853722453117371
700 0.08943607658147812 4.891374111175537 666.6666666666666 22.0593318939209 0.07549000531435013 0.25853848457336426 0.44351622462272644 1.0537456274032593 4.989459037780762 8.625557899475098 0.056323181837797165 0.09385628253221512 0.08172773569822311 0.9863527417182922
800 0.08895765990018845 4.711291313171387 666.6666666666666 21.89277458190918 0.07433513551950455 0.2598746418952942 0.4439220428466797 1.03291654586792 4.9859514236450195 8.577373504638672 0.040279943495988846 0.08807047456502914 0.09968575835227966 0.9871897101402283
900 0.0885244756937027 4.930633068084717 666.6666666666666 21.750442504882812 0.073355533182621 0.2607075273990631 0.44398587942123413 1.0204843282699585 4.993159294128418 8.554841995239258 0.05419931560754776 0.1109633818268776 0.12011581659317017 0.9876798987388611
1000 0.08812788128852844 4.802814483642578 666.6666666666666 21.631572723388672 0.07254255563020706 0.26150649785995483 0.44394707679748535 1.0119966268539429 5.000924110412598 8.512042999267578 0.05376846343278885 0.12468208372592926 0.14939738810062408 0.9880567789077759
1100 0.08776221424341202 4.547792434692383 666.6666666666666 21.51666259765625 0.0717611089348793 0.26192471385002136 0.443884938955307 1.0012856721878052 4.9867095947265625 8.466880798339844 0.1514171063899994 0.32388031482696533 0.36215296387672424 0.98841392993927
1200 0.08742328733205795 4.831601619720459 666.6666666666666 21.41827392578125 0.07109548151493073 0.2624911963939667 0.4435369074344635 0.9983150959014893 4.9950056076049805 8.438092231750488 0.07461999356746674 0.1516348123550415 0.1608414500951767 0.9885594844818115
1300 0.08710745722055435 4.876300811767578 666.6666666666666 21.330854415893555 0.070506751537323 0.2631249725818634 0.44328153133392334 0.9902611970901489 4.986177921295166 8.381820678710938 0.07863804697990417 0.1451244205236435 0.1507243663072586 0.9887794852256775
1400 0.08681195974349976 4.885805606842041 666.6666666666666 21.250865936279297 0.06997029483318329 0.2636469602584839 0.443033367395401 0.983150839805603 4.980072021484375 8.35052490234375 0.01640140824019909 0.020782239735126495 0.01598447561264038 0.9890326857566833
1500 0.08653416484594345 4.736945629119873 666.6666666666666 21.176544189453125 0.06947372853755951 0.26378387212753296 0.44256502389907837 0.9701429009437561 4.977309703826904 8.318643569946289 0.07687583565711975 0.14476262032985687 0.15021082758903503 0.9892275333404541
1600 0.08627228438854218 4.865128040313721 666.6666666666666 21.103551864624023 0.06898780912160873 0.26437461376190186 0.44244810938835144 0.9606525897979736 4.967073440551758 8.292032241821289 0.004482880234718323 0.020159542560577393 0.02599531225860119 0.9894399046897888
1700 0.08602385967969894 4.711228370666504 666.6666666666666 21.046550750732422 0.06860959529876709 0.2644767463207245 0.4420124292373657 0.960135817527771 4.955364227294922 8.2664155960083 0.008756713941693306 0.008092353120446205 0.00716769602149725 0.9895428419113159
1800 0.08578799664974213 4.777551651000977 666.6666666666666 20.99144172668457 0.06824492663145065 0.26443421840667725 0.44156181812286377 0.9528236389160156 4.943307399749756 8.246904373168945 0.04841620847582817 0.09449484199285507 0.10610277950763702 0.9896367788314819
1900 0.08556370437145233 4.667675971984863 666.6666666666666 20.93604850769043 0.06787942349910736 0.26456335186958313 0.44118010997772217 0.945683479309082 4.9189453125 8.218429565429688 0.007630054838955402 0.005843283608555794 0.00790852215141058 0.9897223114967346
2000 0.08534983545541763 4.6347880363464355 666.6666666666666 20.889081954956055 0.0675702840089798 0.2643088400363922 0.4406414330005646 0.9406620860099792 4.918397903442383 8.184721946716309 0.0821160227060318 0.1427316516637802 0.1399817317724228 0.989716112613678
2100 0.0851452574133873 4.568572521209717 666.6666666666666 20.836545944213867 0.0672253668308258 0.26453864574432373 0.4405086040496826 0.9337783455848694 4.909756660461426 8.166398048400879 0.08166678994894028 0.15469908714294434 0.161518394947052 0.9898268580436707
2200 0.08494975417852402 4.697172164916992 666.6666666666666 20.787734985351562 0.06690571457147598 0.26418039202690125 0.44007033109664917 0.935861349105835 4.8901567459106445 8.141895294189453 0.14642871916294098 0.3039293587207794 0.3354591429233551 0.9898046851158142
2300 0.08476217091083527 4.636332035064697 666.6666666666666 20.74829864501953 0.06664802879095078 0.26443642377853394 0.4397124648094177 0.9306857585906982 4.886269569396973 8.116342544555664 0.12354661524295807 0.2326168566942215 0.2460182011127472 0.9898899793624878
