Iter Loss lambda1 2/eta sam_edge ||g||_2 ||g_sam||_2 ||g_ssam||_2 ||g||_1 ||g_sam||_1 ||g_ssam||_1 g_alignment sg_alignment ssg_alignment ssam_sam_g_alignment
0 0.13474592566490173 5.100770950317383 666.6666666666666 58.61296081542969 0.5649961233139038 1.057149052619934 1.0647060871124268 11.88749885559082 22.301036834716797 22.448551177978516 0.7737310528755188 0.8050138354301453 0.8063609004020691 0.9999759793281555
100 0.0999995693564415 4.510161876678467 666.6666666666666 34.50432586669922 0.1883295327425003 0.5300815105438232 0.5760416984558105 3.4705324172973633 10.680710792541504 11.628477096557617 0.2113037109375 0.27616259455680847 0.29399359226226807 0.9985644817352295
200 0.09530070424079895 4.548868656158447 666.6666666666666 26.044944763183594 0.10588762909173965 0.29813194274902344 0.41917160153388977 1.5281109809875488 5.329291343688965 7.76336145401001 0.2550586462020874 0.48365896940231323 0.5477007031440735 0.9852384924888611
300 0.09365495294332504 4.549391269683838 666.6666666666666 23.91190528869629 0.08895760029554367 0.2266731709241867 0.3732241094112396 1.1763885021209717 4.161337852478027 7.29621696472168 0.026000546291470528 0.06776295602321625 0.09237556159496307 0.9729291796684265
400 0.09258022904396057 4.492537975311279 666.6666666666666 23.173479080200195 0.08345235884189606 0.22246982157230377 0.37959814071655273 1.0810739994049072 4.1511454582214355 7.621230602264404 0.07848584651947021 0.18187937140464783 0.2195419818162918 0.9758048057556152
500 0.09173102676868439 4.5741472244262695 666.6666666666666 22.736955642700195 0.08028347790241241 0.22542740404605865 0.38695719838142395 1.0461301803588867 4.232489585876465 7.67812442779541 0.018180737271904945 0.05060475319623947 0.07022669911384583 0.9791123270988464
600 0.09101475775241852 4.138688087463379 666.6666666666666 22.42950439453125 0.07808966934680939 0.22760987281799316 0.3905806839466095 1.0292017459869385 4.324062824249268 7.694506645202637 0.17287443578243256 0.3702465891838074 0.4064365029335022 0.9811111688613892
700 0.09039104729890823 4.499975204467773 666.6666666666666 22.188352584838867 0.07639092952013016 0.229580819606781 0.3931196630001068 1.018224835395813 4.377109527587891 7.719069957733154 0.025229835882782936 0.056634411215782166 0.06943044811487198 0.9825978875160217
800 0.08983752131462097 4.437522888183594 666.6666666666666 21.971506118774414 0.07487989962100983 0.2309872955083847 0.3945464789867401 1.0061793327331543 4.402862071990967 7.707251071929932 0.03911386430263519 0.07999785989522934 0.09078305959701538 0.9835896492004395
900 0.08934095501899719 4.298450946807861 666.6666666666666 21.797618865966797 0.07367948442697525 0.23261867463588715 0.39576515555381775 0.9981741905212402 4.422533988952637 7.7002177238464355 0.038211237639188766 0.11732572317123413 0.16154931485652924 0.9843496680259705
