Iter Loss lambda1 2/eta sam_edge ||g||_2 ||g_sam||_2 ||g_ssam||_2 ||g||_1 ||g_sam||_1 ||g_ssam||_1 g_alignment sg_alignment ssg_alignment ssam_sam_g_alignment
0 0.13293510675430298 5.3017778396606445 666.6666666666666 59.18278121948242 0.5765752792358398 1.100043535232544 1.108041524887085 11.576353073120117 22.647323608398438 22.81903648376465 0.46362027525901794 0.48488849401474 0.4856748580932617 0.9999774098396301
100 0.09930978715419769 4.908555507659912 666.6666666666666 33.33286666870117 0.17543353140354156 0.5323923826217651 0.5941861271858215 3.171807050704956 10.116569519042969 11.367884635925293 0.1675673872232437 0.22325803339481354 0.23508766293525696 0.9979218244552612
200 0.09540800005197525 4.6888346672058105 666.6666666666666 25.996252059936523 0.10548405349254608 0.31268835067749023 0.4609663784503937 1.5457026958465576 5.939938068389893 9.197747230529785 0.22046588361263275 0.4281674325466156 0.4688520133495331 0.9822768568992615
300 0.09387338906526566 5.1421990394592285 666.6666666666666 24.395883560180664 0.09266482293605804 0.28173312544822693 0.46299031376838684 1.2681804895401 5.382732391357422 9.010912895202637 0.2826986014842987 0.6034313440322876 0.6819357872009277 0.9795074462890625
400 0.09280600398778915 5.055208206176758 666.6666666666666 23.728979110717773 0.08757682889699936 0.2830156087875366 0.4735970199108124 1.162661075592041 5.241294860839844 9.006816864013672 0.23898887634277344 0.5106135606765747 0.5684957504272461 0.9824308156967163
500 0.09195046126842499 5.040027618408203 666.6666666666666 23.28125762939453 0.08424451947212219 0.28503724932670593 0.47737863659858704 1.1045069694519043 5.3186516761779785 9.110367774963379 0.05733070150017738 0.12165213376283646 0.1334255486726761 0.9844420552253723
600 0.09122847765684128 4.9431257247924805 666.6666666666666 22.953304290771484 0.08184608817100525 0.285775363445282 0.478148877620697 1.0630804300308228 5.350403785705566 9.105623245239258 0.20486639440059662 0.42530372738838196 0.45840322971343994 0.9854324460029602
700 0.09059931337833405 4.995603561401367 666.6666666666666 22.695701599121094 0.07998728007078171 0.2853865623474121 0.47764086723327637 1.0377110242843628 5.348920822143555 9.078371047973633 0.3043729364871979 0.6093428134918213 0.6591200232505798 0.9858017563819885
800 0.09004050493240356 4.852013111114502 666.6666666666666 22.483335494995117 0.07847151160240173 0.2854023873806 0.47656217217445374 1.020767092704773 5.319291114807129 9.044940948486328 0.0905940905213356 0.17046625912189484 0.16728846728801727 0.9861545562744141
900 0.08953779190778732 4.896780490875244 666.6666666666666 22.2828369140625 0.07705420255661011 0.2849000096321106 0.47565874457359314 1.005397915840149 5.30572509765625 9.02354907989502 0.1297752559185028 0.2498101145029068 0.2609948515892029 0.986384928226471
1000 0.08908113837242126 4.777800559997559 666.6666666666666 22.118831634521484 0.07590479403734207 0.28463390469551086 0.47484782338142395 0.9928069114685059 5.294583797454834 8.996307373046875 0.3112034499645233 0.5993353724479675 0.6258994340896606 0.9866690039634705
